,city,type,county,state,lat,lng
411,Simi Valley,City,Ventura,california,34.2694474,-118.781482
412,Solana Beach,City,San Diego,california,32.991155,-117.2711481
413,Soledad,City,Monterey,california,36.424687,-121.3263187
414,Solvang,City,Santa Barbara,california,34.5958201,-120.1376481
415,Sonoma,City,Sonoma,california,38.291859,-122.4580356
416,Sonora,City,Tuolumne,california,37.9829496,-120.3821724
417,South El Monte,City,Los Angeles,california,34.0519548,-118.0467339
418,South Gate,City,Los Angeles,california,33.954737,-118.2120161
419,South Lake Tahoe,City,El Dorado,california,38.939926,-119.9771868
420,South Pasadena,City,Los Angeles,california,34.1161196,-118.1503488
421,South San Francisco,City,San Mateo,california,37.654656,-122.4077498
422,Stanton,City,Orange,california,33.8028875,-117.9931203
423,Stockton,City,San Joaquin,california,37.9577016,-121.2907796
424,Suisun City,City,Solano,california,38.2382474,-122.040244
425,Sunnyvale,City,Santa Clara,california,37.36883,-122.0363496
426,Susanville,City,Lassen,california,40.4162842,-120.6530063
427,Sutter Creek,City,Amador,california,38.3929675,-120.8024357
428,Taft,City,Kern,california,35.1424671,-119.4565078
429,Tehachapi,City,Kern,california,35.1321877,-118.4489739
430,Tehama,City,Tehama,california,40.0271015,-122.1233228
431,Temecula,City,Riverside,california,33.4936391,-117.1483648
432,Temple City,City,Los Angeles,california,34.1072305,-118.0578456
433,Thousand Oaks,City,Ventura,california,34.1705609,-118.8375937
434,Tiburon,Town,Marin,california,37.8735377,-122.4566392
435,Torrance,City,Los Angeles,california,33.8358492,-118.3406288
436,Tracy,City,San Joaquin,california,37.7396513,-121.4252227
437,Trinidad,City,Humboldt,california,41.05929099999999,-124.1431246
438,Truckee,Town,Nevada,california,39.327962,-120.1832533
439,Tulare,City,Tulare,california,36.2077288,-119.3473379
440,Tulelake,City,Siskiyou,california,41.9559884,-121.4774916
441,Turlock,City,Stanislaus,california,37.4946568,-120.8465941
442,Tustin,City,Orange,california,33.7420005,-117.8236391
443,Twentynine Palms,City,San Bernardino,california,34.1355582,-116.0541689
444,Ukiah,City,Mendocino,california,39.1501709,-123.2077831
445,Union City,City,Alameda,california,37.5933918,-122.0438298
446,Upland,City,San Bernardino,california,34.09751,-117.6483876
447,Vacaville,City,Solano,california,38.3565773,-121.9877444
448,Vallejo,City,Solano,california,38.1040864,-122.2566367
449,Ventura,City,Ventura,california,34.2804923,-119.2945199
450,Vernon,City,Los Angeles,california,34.003903,-118.230073
451,Victorville,City,San Bernardino,california,34.5362184,-117.2927641
452,Villa Park,City,Orange,california,33.81400620000001,-117.8220723
453,Visalia,City,Tulare,california,36.3302284,-119.2920585
454,Vista,City,San Diego,california,33.2000368,-117.2425355
