city,type,county,state,lat,lng
Paso Robles,City,San Luis Obispo,california,35.6368759,-120.6545022
Patterson,City,Stanislaus,california,37.4716001,-121.129656
Perris,City,Riverside,california,33.7825194,-117.2286478
Petaluma,City,Sonoma,california,38.232417,-122.6366524
Pico Rivera,City,Los Angeles,california,33.9830688,-118.096735
Piedmont,City,Alameda,california,37.8243715,-122.231635
Pinole,City,Contra Costa,california,38.0043667,-122.2988587
Pismo Beach,City,San Luis Obispo,california,35.1427533,-120.6412827
Pittsburg,City,Contra Costa,california,38.0279762,-121.8846806
Placentia,City,Orange,california,33.8710729,-117.8627548
Placerville,City,El Dorado,california,38.7296252,-120.798546
Pleasant Hill,City,Contra Costa,california,37.9479786,-122.0607963
Pleasanton,City,Alameda,california,37.6624312,-121.8746789
Plymouth,City,Amador,california,38.4818531,-120.844659
Point Arena,City,Mendocino,california,38.908798,-123.6930726
Pomona,City,Los Angeles,california,34.055103,-117.7499909
Port Hueneme,City,Ventura,california,34.1477829,-119.1951074
Porterville,City,Tulare,california,36.06523,-119.0167679
Portola,City,Plumas,california,39.8104567,-120.4691034
Portola Valley,Town,San Mateo,california,37.3841066,-122.2352443
Poway,City,San Diego,california,32.9628232,-117.0358646
Rancho Cordova,City,Sacramento,california,38.5890723,-121.302728
Rancho Cucamonga,City,San Bernardino,california,34.1063989,-117.5931084
Rancho Mirage,City,Riverside,california,33.739744,-116.41279
Rancho Palos Verdes,City,Los Angeles,california,33.7444613,-118.3870173
Rancho Santa Margarita,City,Orange,california,33.640171,-117.602832
Red Bluff,City,Tehama,california,40.1784886,-122.2358302
Redding,City,Shasta,california,40.5865396,-122.3916754
Redlands,City,San Bernardino,california,34.0555693,-117.1825381
Redondo Beach,City,Los Angeles,california,33.8491816,-118.3884078
Redwood City,City,San Mateo,california,37.4852152,-122.2363548
Reedley,City,Fresno,california,36.5963395,-119.4504029
Rialto,City,San Bernardino,california,34.1064001,-117.3703235
Richmond,City,Contra Costa,california,37.9357576,-122.3477486
Ridgecrest,City,Kern,california,35.6224561,-117.6708966
Rio Dell,City,Humboldt,california,40.4993013,-124.1064369
Rio Vista,City,Solano,california,38.1557502,-121.6913439
Ripon,City,San Joaquin,california,37.7394537,-121.1354141
Riverbank,City,Stanislaus,california,37.7360396,-120.9354895
Riverside,City,Riverside,california,33.9806005,-117.3754942
Rocklin,City,Placer,california,38.7907339,-121.2357828
Rohnert Park,City,Sonoma,california,38.3396367,-122.7010984
Rolling Hills,City,Los Angeles,california,33.7569615,-118.3539613
Rolling Hills Estates,City,Los Angeles,california,33.7877943,-118.3581284
Rosemead,City,Los Angeles,california,34.0805651,-118.072846
Roseville,City,Placer,california,38.7521235,-121.2880059
Ross,Town,Marin,california,37.9624239,-122.5549775
Sacramento,City,Sacramento,california,38.5815719,-121.4943996
St. Helena,City,Napa,california,38.5052429,-122.4703868
Salinas,City,Monterey,california,36.6777372,-121.6555013
San Anselmo,Town,Marin,california,37.9746458,-122.5616448
San Bernardino,City,San Bernardino,california,34.1083449,-117.2897652
San Bruno,City,San Mateo,california,37.6304904,-122.4110835
San Carlos,City,San Mateo,california,37.5071591,-122.2605222
San Clemente,City,Orange,california,33.4273521,-117.6126004
San Diego,City,San Diego,california,32.715738,-117.1610838
San Dimas,City,Los Angeles,california,34.1066756,-117.8067257
San Fernando,City,Los Angeles,california,34.2819461,-118.4389719
San Francisco,City and county,San Francisco,california,37.7749295,-122.4194155
San Gabriel,City,Los Angeles,california,34.0961111,-118.1058333
San Jacinto,City,Riverside,california,33.7839084,-116.958635
San Joaquin,City,Fresno,california,36.6066162,-120.1890447
San Jose,City,Santa Clara,california,37.3382082,-121.8863286
San Juan Bautista,City,San Benito,california,36.8455108,-121.5379974
San Juan Capistrano,City,Orange,california,33.5019027,-117.6627655
San Leandro,City,Alameda,california,37.7249296,-122.1560768
San Luis Obispo,City,San Luis Obispo,california,35.2827524,-120.6596156
San Marcos,City,San Diego,california,33.1433723,-117.1661449
San Marino,City,Los Angeles,california,34.121397,-118.1064585
San Mateo,City,San Mateo,california,37.5629917,-122.3255254
San Pablo,City,Contra Costa,california,37.9621457,-122.3455263
San Rafael,City,Marin,california,37.9735346,-122.5310874
San Ramon,City,Contra Costa,california,37.7799273,-121.9780153
Sand City,City,Monterey,california,36.6171819,-121.8482855
Sanger,City,Fresno,california,36.708006,-119.5559652
Santa Ana,City,Orange,california,33.7454725,-117.867653
Santa Barbara,City,Santa Barbara,california,34.4208305,-119.6981901
Santa Clara,City,Santa Clara,california,37.3541079,-121.9552356
Santa Clarita,City,Los Angeles,california,34.3916641,-118.542586
Santa Cruz,City,Santa Cruz,california,36.9741171,-122.0307963
Santa Fe Springs,City,Los Angeles,california,33.9472359,-118.0853451
Santa Maria,City,Santa Barbara,california,34.9530337,-120.4357191
Santa Monica,City,Los Angeles,california,34.0194543,-118.4911912
Santa Paula,City,Ventura,california,34.3541659,-119.0592705
Santa Rosa,City,Sonoma,california,38.440429,-122.7140548
Santee,City,San Diego,california,32.8383828,-116.9739167
Saratoga,City,Santa Clara,california,37.2638324,-122.0230146
Sausalito,City,Marin,california,37.8590937,-122.4852507
Scotts Valley,City,Santa Cruz,california,37.0510595,-122.0146841
Seal Beach,City,Orange,california,33.7414085,-118.1047682
Seaside,City,Monterey,california,36.6149217,-121.822098
Sebastopol,City,Sonoma,california,38.4021359,-122.8238806
Selma,City,Fresno,california,36.5707838,-119.6120765
Shafter,City,Kern,california,35.5005139,-119.2717761
Shasta Lake,City,Shasta,california,40.6804279,-122.3708419
Sierra Madre,City,Los Angeles,california,34.1616729,-118.0528456
Signal Hill,City,Los Angeles,california,33.8044614,-118.1678456
Simi Valley,City,Ventura,california,34.2694474,-118.781482
Solana Beach,City,San Diego,california,32.991155,-117.2711481
Soledad,City,Monterey,california,36.424687,-121.3263187
Solvang,City,Santa Barbara,california,34.5958201,-120.1376481
Sonoma,City,Sonoma,california,38.291859,-122.4580356
Sonora,City,Tuolumne,california,37.9829496,-120.3821724
South El Monte,City,Los Angeles,california,34.0519548,-118.0467339
South Gate,City,Los Angeles,california,33.954737,-118.2120161
South Lake Tahoe,City,El Dorado,california,38.939926,-119.9771868
South Pasadena,City,Los Angeles,california,34.1161196,-118.1503488
South San Francisco,City,San Mateo,california,37.654656,-122.4077498
Stanton,City,Orange,california,33.8028875,-117.9931203
Stockton,City,San Joaquin,california,37.9577016,-121.2907796
Suisun City,City,Solano,california,38.2382474,-122.040244
Sunnyvale,City,Santa Clara,california,37.36883,-122.0363496
Susanville,City,Lassen,california,40.4162842,-120.6530063
Sutter Creek,City,Amador,california,38.3929675,-120.8024357
Taft,City,Kern,california,35.1424671,-119.4565078
Tehachapi,City,Kern,california,35.1321877,-118.4489739
Tehama,City,Tehama,california,40.0271015,-122.1233228
Temecula,City,Riverside,california,33.4936391,-117.1483648
Temple City,City,Los Angeles,california,34.1072305,-118.0578456
Thousand Oaks,City,Ventura,california,34.1705609,-118.8375937
Tiburon,Town,Marin,california,37.8735377,-122.4566392
Torrance,City,Los Angeles,california,33.8358492,-118.3406288
Tracy,City,San Joaquin,california,37.7396513,-121.4252227
Trinidad,City,Humboldt,california,41.059291,-124.1431246
Truckee,Town,Nevada,california,39.327962,-120.1832533
Tulare,City,Tulare,california,36.2077288,-119.3473379
Tulelake,City,Siskiyou,california,41.9559884,-121.4774916
Turlock,City,Stanislaus,california,37.4946568,-120.8465941
Tustin,City,Orange,california,33.7420005,-117.8236391
Twentynine Palms,City,San Bernardino,california,34.1355582,-116.0541689
Ukiah,City,Mendocino,california,39.1501709,-123.2077831
Union City,City,Alameda,california,37.5933918,-122.0438298
Upland,City,San Bernardino,california,34.09751,-117.6483876
Vacaville,City,Solano,california,38.3565773,-121.9877444
Vallejo,City,Solano,california,38.1040864,-122.2566367
Ventura,City,Ventura,california,34.2804923,-119.2945199
Vernon,City,Los Angeles,california,34.003903,-118.230073
Victorville,City,San Bernardino,california,34.5362184,-117.2927641
Villa Park,City,Orange,california,33.8140062,-117.8220723
Visalia,City,Tulare,california,36.3302284,-119.2920585
Vista,City,San Diego,california,33.2000368,-117.2425355
Walnut,City,Los Angeles,california,34.0202894,-117.8653386
Walnut Creek,City,Contra Costa,california,37.9100783,-122.0651819
Wasco,City,Kern,california,35.5941238,-119.3409457
Waterford,City,Stanislaus,california,37.6413202,-120.7604834
Watsonville,City,Santa Cruz,california,36.910231,-121.7568946
Weed,City,Siskiyou,california,41.4226498,-122.3861269
West Covina,City,Los Angeles,california,34.0686208,-117.9389526
West Hollywood,City,Los Angeles,california,34.0900091,-118.3617443
West Sacramento,City,Yolo,california,38.5804609,-121.530234
Westlake Village,City,Los Angeles,california,34.1466467,-118.8073729
Westminster,City,Orange,california,33.7591757,-117.9897058
Westmorland,City,Imperial,california,33.0372674,-115.6213817
Wheatland,City,Yuba,california,39.0098946,-121.4230133
Whittier,City,Los Angeles,california,33.9791793,-118.032844
Wildomar,City,Riverside,california,33.5989126,-117.2800372
Williams,City,Colusa,california,39.1546137,-122.1494187
Willits,City,Mendocino,california,39.4096079,-123.3555656
Willows,City,Glenn,california,39.5243265,-122.1935931
Windsor,Town,Sonoma,california,38.5471327,-122.8163802
Winters,City,Yolo,california,38.5249065,-121.9708017
Woodlake,City,Tulare,california,36.4135605,-119.0987176
Woodland,City,Yolo,california,38.6785157,-121.7732971
Woodside,Town,San Mateo,california,37.4299388,-122.2538557
Yorba Linda,City,Orange,california,33.8885035,-117.8132571
Yountville,Town,Napa,california,38.4015781,-122.3608105
Yreka,City,Siskiyou,california,41.7354186,-122.6344709
Yuba City,City,Sutter,california,39.1404477,-121.6169108
Yucaipa,City,San Bernardino,california,34.033625,-117.0430865
Yucca Valley,Town,San Bernardino,california,34.1141743,-116.432235
