cities,lat,lng,aqi,category,dominant_pollutant
San Joaquin,36.6066162,-120.1890447,64,Moderate air quality,pm25
San Jose,37.338208200000004,-121.88632859999998,58,Moderate air quality,pm25
San Juan Bautista,36.84551079999999,-121.53799740000002,23,Good air quality,o3
San Juan Capistrano,33.5019027,-117.6627655,61,Moderate air quality,pm25
San Leandro,37.7249296,-122.1560768,51,Moderate air quality,pm25
San Luis Obispo,35.2827524,-120.6596156,20,Good air quality,o3
San Marcos,33.1433723,-117.1661449,47,Good air quality,pm25
San Marino,34.121396999999995,-118.1064585,63,Moderate air quality,pm25
San Mateo,37.562991700000005,-122.32552539999999,66,Moderate air quality,pm25
San Pablo,37.96214570000001,-122.3455263,61,Moderate air quality,pm25
San Rafael,37.9735346,-122.5310874,59,Moderate air quality,pm25
San Ramon,37.7799273,-121.9780153,53,Moderate air quality,pm25
Sand City,36.6171819,-121.8482855,25,Good air quality,pm25
Sanger,36.708006,-119.5559652,73,Moderate air quality,pm25
Santa Ana,33.7454725,-117.867653,68,Moderate air quality,pm25
Santa Barbara,34.4208305,-119.69819009999999,57,Moderate air quality,pm25
Santa Clara,37.354107899999995,-121.9552356,56,Moderate air quality,pm25
Santa Clarita,34.3916641,-118.54258600000001,30,Good air quality,o3
Santa Cruz,36.9741171,-122.0307963,56,Moderate air quality,pm25
Santa Fe Springs,33.9472359,-118.08534509999998,58,Moderate air quality,pm25
Santa Maria,34.953033700000006,-120.43571909999999,47,Good air quality,pm25
Santa Monica,34.01945429999999,-118.4911912,73,Moderate air quality,pm25
Santa Paula,34.3541659,-119.05927050000001,58,Moderate air quality,pm25
Santa Rosa,38.440428999999995,-122.7140548,57,Moderate air quality,pm25
Santee,32.8383828,-116.97391670000002,60,Moderate air quality,pm25
Saratoga,37.2638324,-122.0230146,41,Good air quality,pm25
Sausalito,37.8590937,-122.4852507,44,Good air quality,pm25
Scotts Valley,37.051059499999994,-122.0146841,29,Good air quality,o3
Seal Beach,33.7414085,-118.10476820000001,43,Good air quality,pm25
Seaside,36.614921700000004,-121.822098,46,Good air quality,pm25
Sebastopol,38.4021359,-122.82388059999998,49,Good air quality,pm25
Selma,36.5707838,-119.61207649999999,82,Moderate air quality,pm25
Shafter,35.500513899999994,-119.2717761,105,Unhealthy for sensitive groups air quality,pm25
Shasta Lake,40.6804279,-122.3708419,64,Moderate air quality,pm25
