index,city,type,county,state,lat,lng,uv_index,aqi,category,dominant_pollutant,date,temperature,cloud,pressure,wind(speed),rain
112,Dinuba,City,Tulare,california,36.5432837,-119.3870656,2.46,85,Moderate air quality,pm25,2018-12-01 06:06:27+00,11.89,1,1018.0,1.91,0.0
113,Dixon,City,Solano,california,38.4454641,-121.8232958,1.89,71,Moderate air quality,pm25,2018-12-01 06:06:27+00,13.87,1,1019.0,2.1,0.0
114,Dorris,City,Siskiyou,california,41.9673696,-121.91806,1.41,51,Moderate air quality,pm25,2018-12-01 06:06:27+00,4.08,75,1011.0,4.6,0.0
115,Dos Palos,City,Merced,california,36.9860582,-120.6265722,2.3,61,Moderate air quality,pm25,2018-12-01 06:06:27+00,9.82,1,1019.0,2.1,0.0
116,Downey,City,Los Angeles,california,33.9401088,-118.1331593,3.05,63,Moderate air quality,pm25,2018-12-01 06:06:27+00,17.36,20,1015.0,1.46,0.0
117,Duarte,City,Los Angeles,california,34.1394513,-117.9772873,3.02,64,Moderate air quality,pm25,2018-12-01 06:06:27+00,17.37,1,1016.0,1.46,0.0
118,Dublin,City,Alameda,california,37.7021521,-121.9357918,2.07,52,Moderate air quality,pm25,2018-12-01 06:06:27+00,14.12,1,1020.0,2.1,1.02
119,Dunsmuir,City,Siskiyou,california,41.2082089,-122.2719529,1.52,33,Good air quality,pm25,2018-12-01 06:06:27+00,5.42,90,1013.0,2.6,0.0
120,East Palo Alto,City,San Mateo,california,37.4688273,-122.1410751,2.12,59,Moderate air quality,pm25,2018-12-01 06:06:27+00,13.69,1,1020.0,2.1,0.92
121,Eastvale,City,Riverside,california,33.952463,-117.5848025,3.08,54,Moderate air quality,pm25,2018-12-01 06:06:27+00,17.11,1,1016.0,0.53,0.0
122,El Cajon,City,San Diego,california,32.7947731,-116.9625269,3.46,69,Moderate air quality,pm25,2018-12-01 06:06:27+00,17.25,40,1016.0,2.6,0.0
123,El Centro,City,Imperial,california,32.792,-115.5630514,3.39,63,Moderate air quality,pm25,2018-12-01 06:06:27+00,20.9,1,1013.0,7.2,0.0
124,El Cerrito,City,Contra Costa,california,37.9161326,-122.310765,1.97,60,Moderate air quality,pm25,2018-12-01 06:06:27+00,14.43,1,1020.0,2.1,1.02
125,El Monte,City,Los Angeles,california,34.0686206,-118.0275667,3.0,69,Moderate air quality,pm25,2018-12-01 06:06:27+00,17.37,1,1015.0,1.46,0.0
126,El Segundo,City,Los Angeles,california,33.9191799,-118.4164652,3.05,59,Moderate air quality,pm25,2018-12-01 06:06:27+00,17.41,20,1015.0,3.1,0.0
127,Elk Grove,City,Sacramento,california,38.4087993,-121.3716178,1.91,64,Moderate air quality,pm25,2018-12-01 06:06:27+00,12.38,1,1019.0,2.1,1.02
128,Emeryville,City,Alameda,california,37.831316,-122.2852473,1.97,60,Moderate air quality,pm25,2018-12-01 06:06:27+00,14.34,20,1020.0,3.1,1.02
129,Encinitas,City,San Diego,california,33.0369867,-117.2919818,3.32,58,Moderate air quality,pm25,2018-12-01 06:06:27+00,17.27,40,1016.0,2.6,0.0
130,Escalon,City,San Joaquin,california,37.7974273,-120.9966033,2.05,72,Moderate air quality,pm25,2018-12-01 06:06:27+00,10.34,1,1019.0,1.5,2.42
131,Escondido,City,San Diego,california,33.1192068,-117.086421,3.33,62,Moderate air quality,pm25,2018-12-01 06:06:27+00,17.27,40,1016.0,2.6,0.0
132,Etna,City,Siskiyou,california,41.4568065,-122.8947551,1.47,42,Good air quality,pm25,2018-12-01 06:06:27+00,5.37,90,1013.0,2.6,0.0
133,Eureka,City,Humboldt,california,40.8020712,-124.1636729,1.46,43,Good air quality,pm25,2018-12-01 06:06:27+00,8.45,75,1017.0,4.6,0.0
134,Exeter,City,Tulare,california,36.2960613,-119.1420517,2.53,92,Moderate air quality,pm25,2018-12-01 06:06:27+00,12.06,90,1019.0,1.91,0.0
135,Fairfax,Town,Marin,california,37.9871454,-122.5888686,1.96,26,Good air quality,pm25,2018-12-01 06:06:27+00,14.63,20,1020.0,3.1,0.44
