city,county,state,lat,lng,UV_value
San Gabriel,Los Angeles,california,34.0961111,-118.1058333,3
San Jacinto,Riverside,california,33.7839084,-116.958635,3.16
San Joaquin,Fresno,california,36.6066162,-120.1890447,2.39
San Jose,Santa Clara,california,37.3382082,-121.8863286,2.12
San Juan Bautista,San Benito,california,36.8455108,-121.5379974,2.25
San Juan Capistrano,Orange,california,33.5019027,-117.6627655,3.17
San Leandro,Alameda,california,37.7249296,-122.1560768,2.03
San Luis Obispo,San Luis Obispo,california,35.2827524,-120.6596156,2.71
San Marcos,San Diego,california,33.1433723,-117.1661449,3.33
San Marino,Los Angeles,california,34.121397,-118.1064585,3
San Mateo,San Mateo,california,37.5629917,-122.3255254,2.04
San Pablo,Contra Costa,california,37.9621457,-122.3455263,1.97
San Rafael,Marin,california,37.9735346,-122.5310874,1.96
San Ramon,Contra Costa,california,37.7799273,-121.9780153,2.02
Sand City,Monterey,california,36.6171819,-121.8482855,2.31
Sanger,Fresno,california,36.708006,-119.5559652,2.44
Santa Ana,Orange,california,33.7454725,-117.867653,3.12
Santa Barbara,Santa Barbara,california,34.4208305,-119.6981901,2.92
Santa Clara,Santa Clara,california,37.3541079,-121.9552356,2.12
Santa Clarita,Los Angeles,california,34.3916641,-118.542586,2.97
Santa Cruz,Santa Cruz,california,36.9741171,-122.0307963,2.23
Santa Fe Springs,Los Angeles,california,33.9472359,-118.0853451,3.05
Santa Maria,Santa Barbara,california,34.9530337,-120.4357191,2.8
Santa Monica,Los Angeles,california,34.0194543,-118.4911912,2.98
Santa Paula,Ventura,california,34.3541659,-119.0592705,2.95
Santa Rosa,Sonoma,california,38.440429,-122.7140548,1.88
Santee,San Diego,california,32.8383828,-116.9739167,3.46
Saratoga,Santa Clara,california,37.2638324,-122.0230146,2.12
Sausalito,Marin,california,37.8590937,-122.4852507,1.97
Scotts Valley,Santa Cruz,california,37.0510595,-122.0146841,2.19
Seal Beach,Orange,california,33.7414085,-118.1047682,3.13
Seaside,Monterey,california,36.6149217,-121.822098,2.31
Sebastopol,Sonoma,california,38.4021359,-122.8238806,1.87
Selma,Fresno,california,36.5707838,-119.6120765,2.44
Shafter,Kern,california,35.5005139,-119.2717761,2.65
Shasta Lake,Shasta,california,40.6804279,-122.3708419,1.53
Sierra Madre,Los Angeles,california,34.1616729,-118.0528456,3
Signal Hill,Los Angeles,california,33.8044614,-118.1678456,3.05
Simi Valley,Ventura,california,34.2694474,-118.781482,2.95
Solana Beach,San Diego,california,32.991155,-117.2711481,3.42
Soledad,Monterey,california,36.424687,-121.3263187,2.44
Solvang,Santa Barbara,california,34.5958201,-120.1376481,2.87
Sonoma,Sonoma,california,38.291859,-122.4580356,1.9
Sonora,Tuolumne,california,37.9829496,-120.3821724,2.13
South El Monte,Los Angeles,california,34.0519548,-118.0467339,3
South Gate,Los Angeles,california,33.954737,-118.2120161,3.05
South Lake Tahoe,El Dorado,california,38.939926,-119.9771868,2.11
South Pasadena,Los Angeles,california,34.1161196,-118.1503488,3
South San Francisco,San Mateo,california,37.654656,-122.4077498,2.04
Stanton,Orange,california,33.8028875,-117.9931203,3.04
Stockton,San Joaquin,california,37.9577016,-121.2907796,2.01
Suisun City,Solano,california,38.2382474,-122.040244,1.94
Sunnyvale,Santa Clara,california,37.36883,-122.0363496,2.12
Susanville,Lassen,california,40.4162842,-120.6530063,1.73
Sutter Creek,Amador,california,38.3929675,-120.8024357,1.97
Taft,Kern,california,35.1424671,-119.4565078,2.77
Tehachapi,Kern,california,35.1321877,-118.4489739,2.95
Tehama,Tehama,california,40.0271015,-122.1233228,1.62
Temecula,Riverside,california,33.4936391,-117.1483648,3.24
Temple City,Los Angeles,california,34.1072305,-118.0578456,3
Thousand Oaks,Ventura,california,34.1705609,-118.8375937,3
Tiburon,Marin,california,37.8735377,-122.4566392,1.97
Torrance,Los Angeles,california,33.8358492,-118.3406288,3.05
Tracy,San Joaquin,california,37.7396513,-121.4252227,2.09
Trinidad,Humboldt,california,41.059291,-124.1431246,1.43
Truckee,Nevada,california,39.327962,-120.1832533,1.98
Tulare,Tulare,california,36.2077288,-119.3473379,2.56
Tulelake,Siskiyou,california,41.9559884,-121.4774916,1.41
Turlock,Stanislaus,california,37.4946568,-120.8465941,2.17
Tustin,Orange,california,33.7420005,-117.8236391,3.12
Twentynine Palms,San Bernardino,california,34.1355582,-116.0541689,3.11
Ukiah,Mendocino,california,39.1501709,-123.2077831,1.77
Union City,Alameda,california,37.5933918,-122.0438298,2.03
Upland,San Bernardino,california,34.09751,-117.6483876,3.06
Vacaville,Solano,california,38.3565773,-121.9877444,1.89
Vallejo,Solano,california,38.1040864,-122.2566367,1.92
Ventura,Ventura,california,34.2804923,-119.2945199,2.94
Vernon,Los Angeles,california,34.003903,-118.230073,3
Victorville,San Bernardino,california,34.5362184,-117.2927641,2.98
Villa Park,Orange,california,33.8140062,-117.8220723,3.04
Visalia,Tulare,california,36.3302284,-119.2920585,2.51
Vista,San Diego,california,33.2000368,-117.2425355,3.33
Walnut,Los Angeles,california,34.0202894,-117.8653386,3.02
Walnut Creek,Contra Costa,california,37.9100783,-122.0651819,2
Wasco,Kern,california,35.5941238,-119.3409457,2.65
